,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
74,São José do Campestre,100,BR,1584285091,66,-6.32,-35.71,84.51,9.64
75,Bluff,73,NZ,1584285092,94,-46.6,168.33,53.01,3.0
76,Bereket,98,TM,1584285093,49,39.24,55.52,57.15,14.07
77,Los Llanos de Aridane,75,ES,1584284863,60,28.66,-17.92,68.0,14.99
78,Aykhal,100,RU,1584285096,79,66.0,111.5,24.8,6.71
79,Guymon,90,US,1584285097,100,36.68,-101.48,37.4,10.29
80,Barrow,1,US,1584285098,75,71.29,-156.79,-13.0,8.05
81,New Norfolk,90,AU,1584284838,54,-42.78,147.06,55.4,8.05
82,Vaini,75,TO,1584285100,94,-21.2,-175.2,77.0,5.82
83,Vanavara,100,RU,1584285101,92,60.34,102.28,31.21,12.62
84,Lompoc,90,US,1584285102,87,34.64,-120.46,53.6,3.36
85,Tura,58,IN,1584284867,67,25.52,90.22,68.31,2.24
86,Ganzhou,55,CN,1584285105,64,28.82,115.43,54.81,0.96
87,Corner Brook,75,CA,1584285106,68,48.97,-57.95,32.0,20.8
88,Lüderitz,0,NA,1584284844,83,-26.65,15.16,65.07,30.8
89,Kaitangata,100,NZ,1584284861,86,-46.28,169.85,55.0,9.82
90,Diego de Almagro,0,CL,1584285109,19,-26.37,-70.05,78.39,7.67
91,Castro,1,BR,1584285110,57,-24.79,-50.01,80.91,6.38
92,Avarua,54,CK,1584285111,100,-21.21,-159.78,75.2,1.12
93,Etchoropo,100,MX,1584285112,87,26.77,-109.67,57.0,3.0
94,Port-Gentil,20,GA,1584284876,74,-0.72,8.78,87.8,10.29
95,Atlantic City,90,US,1584285099,61,39.36,-74.42,48.99,9.17
96,San Andrés,20,CO,1584285116,70,12.58,-81.7,84.2,13.87
97,La Paz,75,BO,1584285032,87,-16.5,-68.15,46.4,5.82
98,Te Anau,67,NZ,1584285118,79,-45.42,167.72,51.01,9.86
99,Clyde River,20,CA,1584285119,74,70.47,-68.59,-23.8,3.36
100,Sacoşu Turcesc,20,RO,1584285120,66,45.65,21.43,57.99,18.34
101,Neiafu,75,TO,1584285121,88,-18.65,-173.98,80.6,6.93
102,Nikolskoye,29,RU,1584285122,38,59.7,30.79,39.99,6.71
103,La Orilla,0,MX,1584285123,61,17.98,-102.23,82.17,2.64
104,Hong Kong,20,HK,1584284886,72,22.29,114.16,69.01,13.87
105,Phuthaditjhaba,0,ZA,1584285125,32,-28.52,28.82,76.77,7.76
106,Hithadhoo,68,MV,1584285127,55,-0.6,73.08,84.31,2.3
107,Bredasdorp,100,ZA,1584285128,60,-34.53,20.04,68.0,16.11
108,Carnarvon,0,AU,1584285129,78,-24.87,113.63,78.8,10.29
109,Esperance,23,AU,1584285130,82,-33.87,121.9,68.0,1.12
110,Cabo San Lucas,75,MX,1584285131,88,22.89,-109.91,68.0,2.24
111,Fostoria,90,US,1584285132,74,41.16,-83.42,37.0,10.29
112,Bjerkvik,75,NO,1584285133,51,68.56,17.52,35.6,6.93
113,Yining,99,CN,1584285134,65,29.04,114.56,56.61,2.44
114,Atar,0,MR,1584285136,9,20.52,-13.05,88.81,9.55
115,Mount Gambier,0,AU,1584285137,93,-37.83,140.77,46.4,6.93
116,Ribeira Grande,20,PT,1584284846,68,38.52,-28.7,66.2,8.05
117,Dikson,100,RU,1584285139,98,73.51,80.55,-5.85,4.47
118,Port Alfred,80,ZA,1584285140,97,-33.59,26.89,64.0,1.99
119,Kendari,100,ID,1584285141,95,-3.94,122.5,74.79,2.39
120,Nyurba,100,RU,1584285143,94,63.28,118.33,30.69,5.91
121,Goundam,17,ML,1584284850,6,16.41,-3.67,103.05,9.82
122,Saint Anthony,1,US,1584285145,68,45.02,-93.22,30.99,5.82
123,Shizukuishi,100,JP,1584285146,96,39.68,140.98,29.79,5.91
124,Acapulco de Juárez,20,MX,1584285147,69,16.86,-99.89,82.4,6.93
125,Huangnihe,52,CN,1584285148,93,43.56,128.02,13.21,7.36
126,Titay,1,PH,1584285149,81,7.81,122.53,73.71,6.76
127,Almaznyy,20,RU,1584285150,29,48.04,40.05,39.2,15.66
128,Mayo,90,US,1584284872,75,38.89,-76.51,45.0,9.17
129,Karasjok,9,NO,1584285153,49,69.47,25.51,26.6,4.7
130,Presidente Olegário,32,BR,1584285154,72,-18.42,-46.42,77.31,7.4
131,Mwinilunga,100,ZM,1584285155,95,-11.74,24.43,70.81,2.06
132,Fortuna,75,US,1584285156,93,40.6,-124.16,39.99,5.37
133,Aklavik,75,CA,1584285158,66,68.22,-135.01,10.4,18.34
134,Nakhon Thai,40,TH,1584285159,74,17.1,100.84,87.01,4.7
135,Sindou,94,BF,1584285160,24,10.67,-5.17,100.71,5.3
136,Killybegs,20,IE,1584285161,65,54.63,-8.45,46.99,18.34
137,Narsaq,75,GL,1584285162,42,60.92,-46.05,28.4,4.7
138,Poum,100,NC,1584285163,79,-20.23,164.02,82.89,28.61
139,Qaqortoq,75,GL,1584285165,42,60.72,-46.03,28.4,4.7
140,Westport,20,US,1584284877,36,41.14,-73.36,46.99,10.29
141,Ostrovnoy,100,RU,1584285167,82,68.05,39.51,22.21,33.42
142,Yar-Sale,100,RU,1584285168,80,66.83,70.83,-1.53,4.16
143,Monrovia,75,LR,1584285169,88,6.3,-10.8,80.6,6.93
144,Biloela,0,AU,1584285170,76,-24.42,150.5,65.25,17.13
145,Kargasok,100,RU,1584285171,92,59.06,80.86,31.77,8.9
146,Richards Bay,37,ZA,1584285172,86,-28.78,32.04,80.01,15.64
147,Niquero,0,CU,1584285173,49,20.04,-77.58,82.51,10.74
148,Bushehr,75,IR,1584285175,41,28.97,50.84,75.2,18.34
149,Amapá,99,BR,1584285176,82,1.0,-52.0,78.21,1.41
150,Maniitsoq,0,GL,1584285177,58,65.42,-52.9,3.31,11.45
151,Bilibino,94,RU,1584285178,96,68.05,166.44,-1.71,3.27
152,Karaton,75,ID,1584285179,83,-6.34,106.1,78.8,4.7
153,Kungurtug,100,RU,1584285180,77,50.6,97.52,21.69,4.05
154,Talnakh,33,RU,1584285181,75,69.49,88.4,-13.0,11.18
155,Mahuva,4,IN,1584285183,40,21.09,71.76,81.45,13.94
156,Helden,75,DE,1584285184,50,51.12,7.95,61.0,18.34
157,Aguazul,99,CO,1584285185,44,5.17,-72.55,91.51,8.16
158,Mahébourg,75,MU,1584285186,83,-20.41,57.7,78.8,2.24
159,Hamamatsu,47,JP,1584285187,80,34.7,137.73,43.0,1.99
160,Upata,25,VE,1584285189,40,8.01,-62.4,90.81,4.76
161,Port Lincoln,47,AU,1584285190,78,-34.73,135.87,62.71,12.64
162,Umeå,90,SE,1584285022,91,63.83,20.26,35.6,20.8
163,Tasiilaq,100,GL,1584285193,46,65.61,-37.64,6.8,19.46
164,Marawi,0,PH,1584285194,80,8.0,124.29,75.99,5.99
165,Vadlapūdi,0,IN,1584285195,80,14.32,79.8,77.67,6.51
166,Constitución,0,CL,1584285196,38,-35.33,-72.42,68.49,7.92
167,Roebourne,25,AU,1584285197,55,-20.78,117.13,85.59,11.05
168,Havelock,90,US,1584285198,87,34.88,-76.9,53.6,12.75
169,Kjøllefjord,99,NO,1584285199,65,70.95,27.35,25.47,26.78
170,Port Hedland,0,AU,1584285200,79,-20.32,118.57,84.2,10.29
171,Hilo,90,US,1584285201,78,19.73,-155.09,71.6,5.82
172,Ipixuna,75,BR,1584285203,100,-1.76,-48.8,73.4,10.29
173,Bubaque,100,GW,1584285204,41,11.28,-15.83,82.89,9.95
174,Ghanzi,51,BW,1584285205,22,-21.57,21.78,90.45,6.51
175,Kahului,1,US,1584285206,88,20.89,-156.47,69.8,4.7
176,Uusikaupunki,75,FI,1584285207,69,60.8,21.41,39.2,19.46
177,Kavieng,100,PG,1584285208,67,-2.57,150.8,85.05,5.17
178,Emerald,0,AU,1584285209,64,-23.53,148.17,70.0,6.93
179,Yangi Marg`ilon,4,UZ,1584285210,29,40.43,71.72,60.8,2.24
180,Bara,41,NG,1584285211,5,10.37,10.73,95.49,8.37
181,Port Moresby,40,PG,1584285212,100,-9.44,147.18,75.2,5.82
182,Zhuhai,20,CN,1584285214,82,22.28,113.57,70.0,12.75
183,Krasnosel'kup,33,RU,1584285215,93,65.7,82.47,-8.19,8.95
184,Rocha,97,UY,1584285216,53,-34.48,-54.33,70.81,9.53
185,Kapaa,90,US,1584285217,83,22.08,-159.32,69.8,4.7
186,Chui,100,UY,1584285218,62,-33.7,-53.46,72.61,9.35
187,Acarí,94,PE,1584285219,71,-15.43,-74.62,72.61,7.16
188,Sidi Ali,100,DZ,1584285220,59,36.1,0.42,70.65,10.69
189,Norman Wells,90,CA,1584285221,85,65.28,-126.83,19.4,14.99
190,Mīnāb,75,IR,1584285223,69,27.15,57.08,75.2,16.11
191,Lusambo,38,CD,1584285224,60,-4.97,23.45,86.67,2.21
192,Staraya Poltavka,97,RU,1584285225,59,50.48,46.48,33.21,19.48
193,Longyearbyen,20,SJ,1584285226,58,78.22,15.64,-4.0,2.24
194,Ulladulla,75,AU,1584285227,82,-35.35,150.47,60.01,10.29
195,Mendoza,0,AR,1584285228,25,-32.89,-68.83,73.4,9.17
196,Cessnock,90,AU,1584285229,93,-32.83,151.35,64.0,6.93
197,Porto-Novo,20,BJ,1584285177,70,6.5,2.6,89.6,13.87
198,Otofuke,0,JP,1584285231,78,42.99,143.2,16.65,4.29
199,Santo Antônio do Içá,100,BR,1584285233,78,-3.1,-67.94,83.07,0.98
200,Tebingtinggi,40,ID,1584285234,94,3.33,99.16,82.4,2.24
201,Senj,0,HR,1584285235,22,44.99,14.91,57.2,10.29
202,Pisco,20,PE,1584285236,30,-13.7,-76.22,78.01,3.36
203,Yerbogachën,100,RU,1584285237,90,61.28,108.01,28.35,11.14
204,Bengkulu,99,ID,1584285238,90,-3.8,102.27,76.59,3.65
205,Sijunjung,31,ID,1584285239,94,-0.69,100.95,72.45,1.77
206,Tuktoyaktuk,90,CA,1584285240,77,69.45,-133.04,1.4,26.4
207,Kamenka,100,RU,1584285241,72,51.32,42.77,27.0,1.01
208,Petropavlovsk-Kamchatskiy,90,RU,1584285243,100,53.05,158.65,23.0,8.95
209,Murgab,75,TM,1584285244,24,37.5,61.97,78.8,6.93
210,Avera,75,US,1584285245,59,33.19,-82.53,66.99,8.05
211,Bitung,20,ID,1584285246,94,1.45,125.18,75.2,1.41
212,Shirokiy,100,RU,1584285247,92,49.76,129.52,7.47,5.06
213,Kiryat Gat,62,IL,1584285248,64,31.61,34.76,69.01,5.82
214,Saskylakh,100,RU,1584285249,90,71.92,114.08,19.17,7.18
215,Jizan,40,SA,1584285251,61,17.33,42.67,82.4,11.41
216,Cayenne,40,GF,1584285252,58,4.93,-52.33,87.8,9.17
217,Lucapa,74,AO,1584285253,85,-8.42,20.74,78.91,3.51
218,Chokurdakh,0,RU,1584285254,71,70.63,147.92,-22.23,3.74
219,Colac,0,AU,1584285255,98,-38.33,143.58,55.99,2.66
220,Benjamin Constant,75,BR,1584285020,88,-4.38,-70.03,80.6,3.36
221,Laguna,90,US,1584285257,87,38.42,-121.42,50.0,11.41
222,Provideniya,100,RU,1584285258,97,64.38,-173.3,24.75,3.38
223,Puerto Plata,40,DO,1584285145,74,19.79,-70.69,81.0,5.82
224,Ixtlahuacán del Río,5,MX,1584285261,46,20.87,-103.25,71.6,2.71
225,Baykit,100,RU,1584285262,88,61.67,96.37,29.79,9.55
226,Meulaboh,86,ID,1584285263,68,4.14,96.13,85.41,3.15
227,Pangkalanbuun,94,ID,1584285264,96,-2.68,111.62,76.05,3.27
228,Beringovskiy,0,RU,1584285265,92,63.05,179.32,20.97,11.32
229,Nemesnádudvar,0,HU,1584285266,36,46.34,19.05,46.17,10.83
230,San Quintín,12,MX,1584285267,77,30.48,-115.95,57.87,4.72
231,Madison,90,US,1584285075,93,34.73,-86.57,53.01,10.29
232,Tuatapere,89,NZ,1584285269,94,-46.13,167.68,53.01,3.0
233,Lixouri,40,GR,1584285271,72,38.2,20.43,66.2,20.8
234,Lesogorsk,38,RU,1584285272,90,56.05,99.51,27.99,7.56
235,Vardø,20,NO,1584285273,73,70.37,31.11,23.0,35.57
236,Buraidah,0,SA,1584285270,46,26.33,43.98,73.4,10.29
237,Kolondiéba,100,ML,1584285275,7,11.09,-6.89,107.01,2.57
238,Bambous Virieux,75,MU,1584285276,83,-20.34,57.76,78.8,2.24
239,Ancud,0,CL,1584285277,77,-41.87,-73.82,59.0,13.87
240,Sterling,90,US,1584285278,86,39.01,-77.43,44.6,6.93
241,Kiunga,83,PG,1584285280,99,-6.12,141.29,73.35,3.51
242,Cherskiy,100,RU,1584285281,96,68.75,161.3,2.61,4.43
243,Muros,75,ES,1584285282,93,42.78,-9.06,54.0,6.93
244,Korla,83,CN,1584285283,33,41.76,86.15,35.55,2.98
245,Zhangjiakou,0,CN,1584285284,51,40.81,114.88,35.37,3.47
246,Atasū,100,KZ,1584285285,75,48.68,71.64,37.51,9.91
247,Borzna,94,UA,1584285006,42,51.25,32.43,33.75,15.19
248,Watertown,20,US,1584285257,25,42.37,-71.18,44.01,4.7
249,Port Hardy,5,CA,1584285288,63,50.7,-127.42,32.0,18.34
250,Olhão,20,PT,1584284996,68,37.03,-7.84,64.4,8.05
251,Thinadhoo,3,MV,1584285291,56,0.53,72.93,84.51,1.77
252,Mankāpur,33,IN,1584285292,42,27.03,82.23,69.57,6.58
253,Bethel,90,US,1584285293,41,41.37,-73.41,46.4,10.29
254,Taltal,5,CL,1584285294,69,-25.4,-70.48,66.51,6.69
255,Evansville,90,US,1584285188,74,37.97,-87.56,39.2,10.29
256,Ixtapa,40,MX,1584285105,88,20.7,-105.2,73.99,4.7
257,Kumluca,97,TR,1584285297,90,36.37,30.29,58.05,5.32
258,Airai,100,TL,1584285298,84,-8.93,125.41,66.31,2.55
259,Magadan,100,RU,1584285300,96,59.57,150.8,0.63,7.49
260,Moerai,63,PF,1584285301,72,-22.43,-151.33,79.47,2.77
261,Plácido de Castro,100,BR,1584285302,71,-10.34,-67.19,82.89,2.77
262,Tuy Hoa,19,VN,1584285303,86,13.08,109.3,78.21,9.57
263,Torbay,20,CA,1584285062,54,47.67,-52.73,33.01,34.45
264,Dicabisagan,98,PH,1584285305,87,17.08,122.42,73.51,11.34
265,Sturgeon Falls,20,CA,1584285306,47,46.36,-79.93,12.2,8.05
266,Launceston,90,AU,1584285308,76,-41.45,147.17,55.4,4.7
267,Hearst,29,CA,1584285309,87,49.68,-83.67,6.01,2.28
268,Sierpc,0,PL,1584285310,35,52.86,19.67,42.21,13.51
269,Itarema,75,BR,1584285311,79,-2.92,-39.92,86.0,8.05
270,Beaupré,40,CA,1584285312,52,47.04,-70.9,19.4,8.05
271,Chaiya,20,TH,1584285313,78,9.39,99.2,82.4,6.93
272,Kharp,33,RU,1584285314,88,66.8,65.81,-4.23,8.39
273,Bonavista,32,CA,1584285315,71,48.65,-53.11,30.0,21.0
274,Concepción del Uruguay,100,AR,1584285317,92,-32.48,-58.24,69.01,4.0
275,Nyakahanga,60,TZ,1584285318,71,-1.6,31.14,76.41,1.03
276,Yaguajay,26,CU,1584285319,75,22.33,-79.24,75.69,16.2
277,Baringo,100,KE,1584285320,25,0.47,35.97,91.35,14.7
278,Riachão,67,BR,1584285321,68,-7.36,-46.62,84.31,9.48
279,Ossora,100,RU,1584285322,74,59.24,163.07,9.61,4.63
280,Codrington,0,AU,1584285323,77,-38.27,141.97,59.31,13.85
281,Sikonge,47,TZ,1584285324,67,-5.63,32.77,79.81,1.61
282,Vanimo,100,PG,1584285325,71,-2.67,141.3,82.51,12.15
283,Laas,75,IT,1584285326,53,46.62,10.7,51.8,2.24
284,Międzyrzec Podlaski,0,PL,1584285209,32,51.99,22.78,38.97,7.7
285,Jalu,0,LY,1584285329,12,29.03,21.55,81.99,5.7
286,Nicoya,20,CR,1584285330,48,10.15,-85.45,87.8,25.28
287,Husavik,40,IS,1584285331,55,66.04,-17.34,32.0,29.97
288,Kudat,75,MY,1584285332,78,6.88,116.85,80.6,6.93
289,George,90,ZA,1584285333,93,-33.96,22.46,64.4,5.82
290,Kilindoni,79,TZ,1584285334,77,-7.91,39.67,85.21,10.71
291,Saint George,90,US,1584285145,66,37.1,-113.58,52.0,9.17
292,Klaksvík,97,FO,1584285336,74,62.23,-6.59,33.8,21.92
293,Igarka,21,RU,1584285337,87,67.47,86.58,-10.71,13.87
294,Pevek,91,RU,1584285339,85,69.7,170.31,9.27,15.95
295,Ahipara,100,NZ,1584285340,76,-35.17,173.17,64.51,4.14
296,Hualmay,100,PE,1584285341,63,-11.1,-77.61,78.21,7.16
297,Boa Vista,75,BR,1584285342,52,2.82,-60.67,87.8,12.75
298,Bertoua,46,CM,1584285343,12,4.58,13.68,98.01,3.29
299,Chenzhou,80,CN,1584285344,76,25.8,113.03,61.65,2.08
300,Tomatlán,57,MX,1584285345,62,19.93,-105.25,78.01,1.28
301,Scottsbluff,90,US,1584285165,86,41.87,-103.67,34.0,14.99
302,Jiayuguan City,100,CN,1584285347,21,39.82,98.3,40.41,7.09
303,Mount Isa,0,AU,1584285349,34,-20.73,139.5,80.6,13.87
304,Lagoa,0,PT,1584285350,70,39.05,-27.98,57.69,4.47
305,Paraty,0,BR,1584285351,77,-23.22,-44.71,77.31,3.49
306,Verkhoyansk,0,RU,1584285352,82,67.54,133.38,-21.51,3.44
307,Dekar,51,BW,1584285353,22,-21.53,21.93,90.45,6.51
308,Dosso,57,NE,1584285354,7,13.05,3.19,101.07,11.25
309,Nkayi,19,CG,1584285355,76,-4.18,13.29,85.41,5.37
310,Altamira,90,BR,1584285318,94,-3.2,-52.21,77.0,2.24
311,Murray Bridge,0,AU,1584285358,94,-35.12,139.27,64.0,3.89
312,San Calixto,99,CO,1584285359,72,8.4,-73.21,74.25,2.26
313,Upernavik,0,GL,1584285360,70,72.79,-56.15,-18.81,4.47
314,Saint-Philippe,20,RE,1584285361,74,-21.36,55.77,80.6,14.99
315,Geraldton,52,AU,1584285362,78,-28.77,114.6,71.6,4.7
316,Olafsvik,100,IS,1584285363,93,64.89,-23.71,32.67,19.44
317,Pangnirtung,65,CA,1584285364,86,66.15,-65.71,-26.55,2.17
318,Half Moon Bay,90,US,1584285365,76,37.46,-122.43,51.01,11.41
319,Novopokrovka,75,UA,1584285366,79,49.84,36.55,26.6,15.66
320,Antofagasta,20,CL,1584285367,68,-23.65,-70.4,72.0,5.82
321,Bac Lieu,65,VN,1584285369,77,9.29,105.72,78.01,8.77
322,Alofi,100,NU,1584285370,94,-19.06,-169.92,77.0,3.36
323,Ust-Kuyga,0,RU,1584285371,81,70.02,135.6,-20.61,8.68
324,Bougouni,100,ML,1584285372,7,11.42,-7.48,103.95,4.72
325,Namatanai,100,PG,1584285373,78,-3.67,152.43,82.71,9.6
326,Betanzos,75,ES,1584285374,87,43.28,-8.21,51.01,4.7
327,Nuuk,20,GL,1584285186,71,64.18,-51.72,3.2,19.46
328,Lata,40,PT,1584285376,59,40.16,-8.33,63.0,12.75
329,Mar del Plata,75,AR,1584285377,63,-38.0,-57.56,66.2,9.17
330,Faanui,7,PF,1584285379,77,-16.48,-151.75,82.51,13.38
331,Inverell,0,AU,1584285380,71,-29.78,151.12,59.0,7.83
332,Srednekolymsk,97,RU,1584285381,97,67.45,153.68,-15.39,8.52
333,Stornoway,40,GB,1584285382,73,58.21,-6.39,43.0,23.04
334,Zaysan,0,KZ,1584285383,76,47.47,84.87,25.65,1.05
335,Camalú,29,MX,1584285384,79,30.85,-116.07,53.55,1.41
336,Chimoré,77,BO,1584285138,46,-16.98,-65.13,92.97,2.82
337,Toamasina,40,MG,1584285386,83,-18.17,49.38,80.6,13.87
338,Okato,0,NZ,1584285387,80,-39.2,173.88,51.01,1.01
339,Nkhotakota,75,MW,1584285389,68,-12.93,34.3,81.27,4.25
340,George Town,40,MY,1584285104,94,5.41,100.34,87.8,6.93
341,Linxia Chengguanzhen,100,CN,1584285391,95,35.6,103.21,28.89,9.44
342,Luanda,40,AO,1584285144,62,-8.84,13.23,87.8,13.87
343,Canora,90,CA,1584285393,85,51.63,-102.43,10.4,8.05
344,Acaraú,75,BR,1584285113,79,-2.89,-40.12,86.0,8.05
345,Hibbing,75,US,1584285395,79,47.43,-92.94,25.0,3.36
346,Knysna,90,ZA,1584285224,93,-34.04,23.05,64.4,5.82
347,Myitkyina,68,MM,1584285397,48,25.38,97.4,75.31,4.38
348,Japura,3,ID,1584285399,88,-0.32,102.35,76.59,2.28
349,Chapais,1,CA,1584285399,70,49.78,-74.85,-0.4,10.29
350,Samus',100,RU,1584285401,74,56.75,84.7,37.99,15.66
351,Fuxin,0,CN,1584285354,36,42.02,121.66,21.51,1.12
352,Finschhafen,100,PG,1584285403,78,-6.6,147.87,81.81,13.06
353,Bilisht,90,AL,1584285404,93,40.63,20.99,35.6,12.75
354,Faya,40,SA,1584285405,68,18.39,42.45,66.2,10.29
355,Radomsko,0,PL,1584285406,46,51.07,19.44,46.0,55.99
356,Papenburg,90,DE,1584285407,71,53.07,7.4,55.0,16.11
357,Kalmunai,14,LK,1584285409,77,7.42,81.82,82.89,10.89
358,Muncar,63,ID,1584285410,73,-8.43,114.33,83.61,3.29
359,Sawtell,26,AU,1584285411,88,-30.38,153.1,62.6,13.87
360,Agirish,59,RU,1584285413,86,61.92,63.02,20.97,7.7
361,Simpang,0,ID,1584285414,90,-1.27,104.08,75.31,3.27
362,Puerto Escondido,5,MX,1584285360,69,15.85,-97.07,82.4,2.93
363,Iqaluit,75,CA,1584285416,68,63.75,-68.51,-18.0,6.35
364,Loikaw,100,MM,1584285417,27,19.67,97.21,72.27,7.0
365,Santa Luzia,20,BR,1584285418,54,-19.77,-43.85,82.4,4.7
366,Baza,98,ES,1584285420,40,37.49,-2.77,64.99,5.99
367,Yinzhu,0,CN,1584285421,30,35.88,119.98,44.01,8.95
368,Ayagoz,48,KZ,1584285422,71,47.97,80.44,33.21,5.68
369,Nanzhang,88,CN,1584285423,31,31.78,111.84,61.47,2.82
370,Yaan,16,NG,1584285424,7,7.38,8.57,105.01,4.07
371,Oakley,90,US,1584285227,87,38.0,-121.71,50.0,9.17
372,Bahía Honda,1,CU,1584285426,66,22.9,-83.16,78.39,10.76
